time,cwnd,bytes_in_flight
3.36,5722,5602
3.37,5722,5602
3.38,5973,5483
3.39,5973,5483
3.4,5973,5483
3.41,5973,5483
3.42,5973,5483
3.43,6214,6045
3.44,6214,6045
3.45,6214,6045
3.46,6214,6045
3.47,6214,6045
3.48,6445,6045
3.49,6445,6045
3.5,6445,6045
3.51,6445,6045
3.52,6445,6045
3.53,6668,6025
3.54,6668,6025
3.55,6668,6025
3.56,6668,6025
3.57,6883,0
3.58,6883,6035
3.59,6883,6035
3.6,6883,6035
3.61,6883,6035
3.62,7092,6035
3.63,7092,6035
3.64,7092,6035
3.65,7092,6035
3.66,7092,6035
3.67,7295,7254
3.68,7295,7254
3.69,7295,7254
3.7,7295,7254
3.71,7295,7254
3.72,7492,7254
3.73,7492,7254
3.74,7492,7254
3.75,7492,7254
3.76,7492,7254
3.77,7684,7239
3.78,7684,7239
3.79,7684,7239
3.8,7684,7239
3.81,7871,0
3.82,7871,7242
3.83,7871,7242
3.84,7871,7242
3.85,7871,7242
3.86,8053,7253
3.87,8053,7253
3.88,8053,7253
3.89,8053,7253
3.9,8053,7253
3.91,8231,7254
3.92,8231,7254
3.93,8231,7254
3.94,8231,7254
3.95,8231,7254
3.96,8405,7254
3.97,8405,7254
3.98,8405,7254
3.99,8405,7254
4,8405,7254
4.01,8576,8449
4.02,8576,8449
4.03,8576,8449
4.04,8576,8449
4.05,8576,8449
4.06,8743,8449
4.07,8743,8449
4.08,8743,8449
4.09,8743,8449
4.1,8907,0
4.11,8907,8463
4.12,8907,8463
4.13,8907,8463
4.14,8907,8463
4.15,9068,8463
4.16,9068,8463
4.17,9068,8463
4.18,9068,8463
4.19,9068,8463
4.2,9226,8463
4.21,9226,8463
4.22,9226,8463
4.23,9226,8463
4.24,9226,8463
4.25,9382,8449
4.26,9382,8449
4.27,9382,8449
4.28,9382,8449
4.29,9382,8449
4.3,9535,8449
4.31,9535,8449
4.32,9535,8449
4.33,9535,8449
4.34,9535,8449
4.35,9686,9672
4.36,9686,9672
4.37,9686,9672
4.38,9686,9672
4.39,9834,9651
4.4,9834,9651
4.41,9834,9651
4.42,9834,9651
4.43,9834,9651
4.44,9980,9657
4.45,9980,9657
4.46,9980,9657
4.47,9980,9657
4.48,9980,9657
4.49,10124,9947
4.5,10124,9947
4.51,10124,9947
4.52,10124,9947
4.53,10266,0
4.54,10266,9993
4.55,10266,9993
4.56,10266,9993
4.57,10266,9993
4.58,10406,0
4.59,10406,9643
4.6,10406,9973
4.61,10406,9973
4.62,10406,9973
4.63,10544,10010
4.64,10680,9680
4.65,10680,9680
4.66,10680,9680
4.67,10680,9680
4.68,10814,9671
4.69,10814,9671
4.7,10814,9671
4.71,10814,9671
4.72,10814,9671
4.73,10947,10875
4.74,10947,10875
4.75,10947,10875
4.76,10947,10875
4.77,10947,10875
