time,stream_id,size
1.72866,1,51200
1.82817,2,51200
2.9627,4,51200
3.01266,3,51200
3.30297,7,51200
4.45801,10,51200
4.55435,13,51200
4.60302,5,51200
4.89088,16,51200
5.611,8,51200
5.80231,11,51200
5.89836,14,51200
5.99108,19,51200
6.13197,6,51200
6.18005,17,51200
6.42425,12,51200
6.52468,18,51200
6.57596,15,51200
6.67987,20,51200
6.79409,9,51200
