loss_rate,bandwidth,latency,avg_delay_s,avg_throughput_Mbps,onload_s,retx_count,retx_rate_per_s,jitter_s,hol_events,hol_time_s,conn_hol_stall_s,conn_hol_ratio_percent,hpack_saved_bytes,hpack_compression_percent
0.001,10Mbps,5ms,0.278,7.668,21.378000,13,0.608,0.020646,66,17.870012,0.000000,0.000,28000,0.1%
0.000%
0.005,10Mbps,5ms,0.713,3.255,50.106601,66,1.317,0.654586,98,44.968531,0.000000,0.000,27860,0.1%
0.000%
0.01,10Mbps,5ms,0.833,2.826,58.012000,123,2.120,0.255488,47,54.567971,1.434000,2.472,28000,0.1%
2.472%
0.02,10Mbps,5ms,1.91,1.248,57.128514,128,2.241,0.396543,76,53.378514,0.000000,0.000,12180,0.1%
0.000%
0.05,10Mbps,5ms,0.767,3.041,53.645790,168,3.132,0.045972,74,48.376875,25.741000,47.983,27860,0.1%
47.983%
