time,stream_id,size
3.1201,1,153600
3.31261,2,153600
6.76624,3,153600
6.81665,7,153600
6.86495,5,153600
8.35985,8,153600
8.602,6,153600
9.56686,13,153600
9.7079,16,153600
10.51,4,153600
10.8977,9,153600
13.2301,14,153600
13.4176,17,153600
13.5128,10,153600
13.7025,19,153600
13.8471,11,153600
13.8472,12,153600
13.8984,15,153600
14.0009,20,153600
14.0033,18,153600
