time,cwnd,bytes_in_flight
0.51,12000,0
0.52,12000,0
0.53,12000,0
0.54,12000,0
0.55,12000,0
0.56,12000,0
0.57,12000,0
0.58,12000,0
0.59,12000,0
0.6,12000,0
0.61,12000,0
0.62,12000,0
0.63,12000,0
0.64,12000,0
0.65,12000,0
0.66,12000,0
0.67,12000,0
0.68,12000,0
0.69,12000,0
0.7,12000,0
0.71,12000,0
0.72,12000,0
0.73,12000,0
0.74,12000,0
0.75,12000,0
0.76,12000,0
0.77,12000,0
0.78,12000,0
0.79,12000,0
0.8,12000,0
0.81,12000,0
0.82,12000,0
0.83,12000,0
0.84,12000,0
0.85,12000,0
0.86,12000,0
0.87,12000,0
0.88,12000,0
0.89,12000,0
0.9,12000,0
0.91,12000,0
0.92,12000,0
0.93,12000,0
0.94,12000,0
0.95,12000,0
0.96,12000,0
0.97,12000,0
0.98,12000,0
0.99,12000,0
1,12000,0
1.01,12000,0
1.02,12000,0
1.03,12000,0
1.04,12000,11954
1.05,12000,11954
1.06,12000,11954
1.07,12000,11954
1.08,23954,0
1.09,23954,23852
1.1,23954,23852
1.11,23954,23852
1.12,23954,23852
1.13,47806,0
1.14,47806,47714
1.15,47806,47714
1.16,47806,47714
1.17,47806,47714
1.18,95520,0
1.19,95520,95434
1.2,95520,95434
1.21,95520,95434
1.22,95520,95434
1.23,168426,22528
1.24,190954,47852
1.25,190954,47852
1.26,190954,47852
1.27,190954,47852
1.28,190954,47852
1.29,238806,0
1.3,238806,0
1.31,238806,0
1.32,238806,0
1.33,238806,0
1.34,238806,0
1.35,238806,0
1.36,238806,0
1.37,238806,0
1.38,238806,0
1.39,238806,0
1.4,238806,0
1.41,238806,0
1.42,238806,0
1.43,238806,0
1.44,238806,0
1.45,238806,0
1.46,238806,0
1.47,238806,0
1.48,238806,0
1.49,238806,0
1.5,238806,0
1.51,238806,0
1.52,238806,0
1.53,238806,0
1.54,238806,0
1.55,238806,0
1.56,238806,0
1.57,238806,0
1.58,238806,0
1.59,238806,0
1.6,238806,0
1.61,238806,0
1.62,238806,0
1.63,238806,0
1.64,238806,0
1.65,238806,0
1.66,238806,0
1.67,238806,0
1.68,238806,0
1.69,238806,0
1.7,238806,0
1.71,238806,0
1.72,238806,0
1.73,238806,0
1.74,238806,0
1.75,238806,0
1.76,238806,0
1.77,238806,0
1.78,238806,0
1.79,238806,0
1.8,238806,0
