completion_rate,delay,throughput,load_time,loss
94.0,0.144446,5.30594,29.0259,0.01
80.5,0.100434,7.42215,17.7699,0.001
18.5,0.843177,0.96048,31.5576,0.05
31.5,0.451615,1.77525,29.0717,0.04
54.50000000000001,0.151875,5.06357,17.6344,0.02
80.5,0.100434,7.42215,17.7699,0.005
31.5,0.451615,1.77525,29.0717,0.03
100.0,0.100413,7.4228,22.0725,0.0
